model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,11,Who has the same number of children as Chester?,"Adam,Adelaide,Alfred,Alicia,Alina,Amanda,Amara,Amber,Anika,Ansel,Antonella,Antonia,Antonio,Arabella,Ashton,Atticus,Bartholomew,Beatrix,Beau,Becca,Belle,Bentley,Bernadette,Bertram,Beth,Bethany,Blair,Blythe,Brock,Bryant,Bryce,Brynn,Bud,Caitlin,Carissa,Carol,Cassidy,Cecelia,Cedric,Celia,Charity,Christopher,Ciara,Clayton,Cole,Conan,Cornelia,Cressida,Cristina,Daisy,Dan,Dawn,Declan,Delilah,Dennis,Destiny,Dirk,Dolores,Dominic,Donovan,Drake,Duncan,Ed,Edith,Edward,Edwin,Eli,Elisa,Ella,Elmer,Elvis,Emilia,Erica,Erin,Esme,Estella,Estelle,Eugenia,Fanny,Franklin,Gabriel,Gary,Gavin,Genesis,Gideon,Gilda,Gina,Giselle,Glenys,Gloria,Haley,Harris,Hassan,Hattie,Hermione,Hilda,Hiram,Homer,Howard,Ian,Ilana,Immanuel,India,Ingrid,Irene,Jack,Jana,Janessa,Jesse,Joanne,Joel,Jolie,Juan,Jude,Juniper,Kamal,Karl,Kathy,Kelly,Kent,Kit,Lars,Leland,Liam,Lilian,Lillie,Lilly,Liv,Liza,Logan,Luke,Luz,Malcolm,Margery,Margo,Marie,Marigold,Mario,Marshall,Martina,Maureen,Maxim,May,Mercedes,Mia,Micah,Molly,Mona,Monroe,Mya,Myles,Natalie,Neil,Nico,Nikolai,Noel,Nora,Norma,Palmer,Peggy,Pete,Peter,Petra,Philippa,Phineas,Polly,Prescott,Preston,Primrose,Ralph,Raquel,Raul,Raven,Reginald,Rex,Richard,Rina,Rita,Roberta,Ronan,Roscoe,Roxanne,Ruby,Rudolph,Saoirse,Savannah,Sawyer,Seamus,Shane,Silas,Simon,Sofia,Soren,Tallulah,Teresa,Thomas,Timothy,Troy,Tux,Urban,Vaughn,Vex,Vladimir,Wade,Wil,Wilfredo,Wyx,Xu,Yasmin,Yasmine,Yehuda,Yen,York,Zach,Zachary,Zaida,Zane,Zeke,Zep",,False,False,0.0,201.64894771575928,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,comparative,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,12,"Among Landon and their siblings, who has the most children?","Isadora,Landon",,False,False,0.0,201.64604330062866,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,conditional,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,13,"Who is the father of the person with chestnut hair, brown eyes and a brown hat?",Roosevelt,,False,False,0.0,201.65108394622803,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,14,Which descendants of Ivana work as a pilot?,"Carmen,Murray",,False,False,0.0,201.6752393245697,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,15,Which descendants of Fabian work as a pilot?,"Amira,Solange",,False,False,0.0,201.64604091644287,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,16,"Who is the father of the person with red hair, hazel eyes and a orange hat?",Elliot,,False,False,0.0,201.65032625198364,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,17,Which descendants of Roberta work as a teacher?,"Delilah,Kenna",,False,False,0.0,0.024233341217041016,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,18,"Who is the mother of the person with chestnut hair, green eyes and a cream hat?",Jazlyn,,False,False,0.0,0.024518251419067383,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,19,What are the hair colors of Gideon's children's in-laws?,"chestnut,strawberry blonde",,False,False,0.0,0.02483224868774414,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,20,"Who is the father of the person with dark brown hair, dark brown eyes and a maroon hat?",Arnold,,False,False,0.0,0.024584293365478516,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,21,Who has the same hair color as Chase's mother's father?,"Anastasia,Ashanti,Aviana,Azalea,Bartholomew,Becca,Becky,Benjamin,Brielle,Brock,Bronwyn,Caitlin,Chelsea,Cooper,Crystal,Cynthia,Dawson,Dean,Deborah,Delaney,Dennis,Diamond,Dustin,Ed,Emily,Esme,Evangeline,Everett,Fox,Freya,Gordon,Heather,Howard,Iliana,Imogen,Jay,Kai,Kamal,Kayla,Konrad,Langston,Liza,Marianne,Martina,Mavis,Memphis,Moses,Nicolas,Nila,Norma,Paola,Paula,Pax,Petal,Pete,Pia,Ralph,Rayna,Rita,Roger,Rose,Russell,Salvador,Sandra,Sarah,Stanley,Sullivan,Tina,Tom,Tracey,Vance,Vienna,Zep",,False,False,0.0,0.02501201629638672,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,22,Which descendants of Antonella work as a manager?,"Lydia,Miriam",,False,False,0.0,0.02550673484802246,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,23,"Who is the mother of the person with salt and pepper hair, black eyes and a turquoise hat?",Eudora,,False,False,0.0,0.025803804397583008,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,24,Who has more grandsons than granddaughters?,"Adelaide,Alana,Austin,Barnaby,Beau,Bjorn,Bradley,Brady,Bud,Carter,Cecelia,Chloe,Christopher,Cole,Crystal,Curtis,Dirk,Dominic,Donovan,Drew,Duncan,Dustin,Easton,Ezekiel,Franco,Fraser,George,Gideon,Glenn,Harold,Harris,Homer,Ilias,India,Ivana,Jethro,John,Katarina,Kathy,Kenna,Kira,Lana,Lavender,Lorna,Maggie,Malachi,Marina,Marlene,Marshall,Marvin,Maverick,Melinda,Mercy,Millie,Molly,Naomi,Natalie,Nikita,Norma,Omar,Oscar,Peggy,Peter,Philippa,Rachel,Ralph,Raphael,Raven,Rhiannon,Rhonda,Richard,Roberta,Rodrigo,Salome,Sasha,Sid,Sonia,Sophie,Stacey,Tallulah,Tessa,Viggo,Wyatt,Wyx,Yasmin,Yasmine,Yumi,Zoey",,False,False,0.0,0.02611684799194336,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,comparative,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,25,Which descendants of Sonia work as a translator?,"Hunter,Kinley",,False,False,0.0,0.026235342025756836,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,26,Who is the brother of the father of Gianna with strawberry blonde hair?,Finnegan,,False,False,0.0,0.026430845260620117,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,5
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,27,Who are the grandchildren of Kenna's siblings?,"Delilah,Holly,Janelle,Kevin,Mariah,Ulrich,Vex",,False,False,0.0,0.0265200138092041,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,28,Who is the sister of the mother of Prudence with auburn hair?,Yasmin,,False,False,0.0,0.02618241310119629,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,5
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,29,What are the hair colors of Sullivan's children's in-laws?,"silver,strawberry blonde,white",,False,False,0.0,0.025911808013916016,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,30,"Who is the mother of the person with brown hair, hazel eyes and a black hat?",Ava,,False,False,0.0,0.05102968215942383,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,31,Who has the same number of children as Jethro?,"Abel,Adela,Adeline,Alana,Alec,Alexa,Amaya,Amelia,Anastasia,Andre,Anita,Annabella,Anouk,Arianna,Ariel,Arlo,Armando,Ashley,Austin,Ava,Azalea,Barnaby,Bjorn,Blake,Bonnie,Bowen,Bradley,Britney,Bruce,Bruno,Cade,Callie,Calvin,Cameron,Caroline,Carter,Celeste,Clarence,Clementine,Cooper,Crystal,Curtis,Cyd,Dane,Danielle,Darren,Davis,Denver,Derek,Dion,Dottie,Drew,Duke,Dustin,Easton,Ebony,Edison,Effie,Eileen,Eliana,Elijah,Elodie,Eloise,Esther,Eunice,Evan,Evangeline,Everett,Fallon,Farley,Felipe,Fernanda,Finnegan,Florence,Floyd,Franco,Fraser,Genevieve,Gerald,Gertrude,Gil,Glenn,Gordon,Grady,Gunnar,Hannah,Hayden,Heath,Heather,Helena,Hope,Horace,Hudson,Hugo,Iliana,Imogen,Iris,Ivan,Ivana,Jacinda,Janelle,Janine,Jason,Jasper,Jeremiah,Jeremy,Jewel,Joanna,Johann,John,Jordan,Judith,Judy,Julia,Juliana,Julianne,Juliet,June,Katya,Kay,Keith,Kendall,Kenna,Kingsley,Kira,Kirby,Knox,Kristen,Lacey,Lamar,Lamont,Lana,Larry,Lillian,Lily,Lincoln,Linus,Lloyd,Lorna,Lowell,Luther,Lyle,Magdalena,Maggie,Margot,Mariah,Marissa,Marlene,Marvin,Matilda,Maude,Maverick,Mel,Melinda,Mercer,Mercy,Meredith,Mila,Milena,Millie,Murphy,Murray,Nat,Nayeli,Ned,Nerissa,Nikita,Nola,Novella,Odin,Orion,Oscar,Oswald,Otis,Oz,Paola,Pascal,Pat,Patrick,Pauline,Pax,Pearl,Pedro,Pierce,Prudence,Rachel,Rafael,Rafaela,Raphael,Reed,Remy,Reuben,Rhonda,Riley,Robert,Roberto,Roger,Ross,Rufus,Saffron,Salome,Samira,Sasha,Shanna,Sharon,Solange,Steve,Tessa,Thea,Thiago,Tia,Tilly,Tina,Tony,Trent,Trenton,Truman,Tyler,Uma,Ursula,Valeria,Viggo,Vince,Viv,Walker,Warren,William,Wilson,Wyatt,Yma,Yolanda,Yumi,Yve,Zed,Ziva,Zoey,Zola",,False,False,0.0,0.048705101013183594,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,comparative,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,32,Who are the grandchildren of Chloe's siblings?,"Courtney,Emilio,Eve,Flint,Lynn,Sylvia",,False,False,0.0,0.04868507385253906,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,33,What are the hair colors of Saul's children's in-laws?,"platinum blonde,red,silver",,False,False,0.0,0.034096717834472656,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,34,Who is the brother of the father of Maisie with salt and pepper hair?,Wilfred,,False,False,0.0,0.0340728759765625,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,5
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,35,Who is the sister of the mother of Clarice with black hair?,Belinda,,False,False,0.0,0.03392767906188965,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,5
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,36,"Who is the mother of the person with dark brown hair, amber eyes and a pink hat?",Gloria,,False,False,0.0,0.03326249122619629,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,37,What are the hair colors of Archie's children's in-laws?,"brown,salt and pepper",,False,False,0.0,0.03319883346557617,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,38,Who are the children of Morgana's grandparents' siblings?,Hogan,,False,False,0.0,0.032987117767333984,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,39,Who is the sister of the father of Deborah with black hair?,Mia,,False,False,0.0,0.03270602226257324,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,5
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,40,"Who is the mother of the person with platinum blonde hair, gray eyes and a maroon hat?",Sunny,,False,False,0.0,0.031906843185424805,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,enigme,True,6
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,41,Who has the same hair color as Chelsea's mother's father?,"Alana,Aleena,Allison,Amara,Arlo,Ava,Birdie,Bjorn,Blake,Bruno,Callie,Caroline,Crispin,Dan,Darius,Dirk,Dorothy,Duncan,Elaine,Eliza,Emma,Emmanuel,Estella,Esther,Fallon,Fay,Harold,Hogan,Immanuel,India,Jazlyn,Jordan,Kenna,Keziah,Kinley,Kristen,Lamont,Lawson,Maeve,Magdalena,Marcia,Marco,Marigold,Meredith,Neil,Oswald,Pat,Pauline,Primrose,Priscilla,Roberto,Rosalind,Ruben,Shanna,Sophie,Stacey,Sunny,Tanya,Tatiana,Tia,Trent,Tristan,Urban,Ursula,Wilfredo,Willow,Yolanda,Yves",,False,False,0.0,0.03136706352233887,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,42,Who are the children of Hector's grandparents' siblings?,"Janelle,Kevin,Mariah,Ulrich,Vex",,False,False,0.0,0.030714988708496094,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,multihop,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,43,Which descendants of Cyrus work as a scientist?,"Benjamin,Bianca",,False,False,0.0,0.03067493438720703,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,44,Which descendants of Langston work as a web designer?,"Celestine,Moe",,False,False,0.0,0.029715299606323242,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,verticale_descendant_critere,False,
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,large_tree_en,45,Who has the same number of children as Samira?,"Abel,Adela,Adeline,Alana,Alec,Alexa,Amaya,Amelia,Anastasia,Andre,Anita,Annabella,Anouk,Arianna,Ariel,Arlo,Armando,Ashley,Austin,Ava,Azalea,Barnaby,Bjorn,Blake,Bonnie,Bowen,Bradley,Britney,Bruce,Bruno,Cade,Callie,Calvin,Cameron,Caroline,Carter,Celeste,Clarence,Clementine,Cooper,Crystal,Curtis,Cyd,Dane,Danielle,Darren,Davis,Denver,Derek,Dion,Dottie,Drew,Duke,Dustin,Easton,Ebony,Edison,Effie,Eileen,Eliana,Elijah,Elodie,Eloise,Esther,Eunice,Evan,Evangeline,Everett,Fallon,Farley,Felipe,Fernanda,Finnegan,Florence,Floyd,Franco,Fraser,Genevieve,Gerald,Gertrude,Gil,Glenn,Gordon,Grady,Gunnar,Hannah,Hayden,Heath,Heather,Helena,Hope,Horace,Hudson,Hugo,Iliana,Imogen,Iris,Ivan,Ivana,Jacinda,Janelle,Janine,Jason,Jasper,Jeremiah,Jeremy,Jethro,Jewel,Joanna,Johann,John,Jordan,Judith,Judy,Julia,Juliana,Julianne,Juliet,June,Katya,Kay,Keith,Kendall,Kenna,Kingsley,Kira,Kirby,Knox,Kristen,Lacey,Lamar,Lamont,Lana,Larry,Lillian,Lily,Lincoln,Linus,Lloyd,Lorna,Lowell,Luther,Lyle,Magdalena,Maggie,Margot,Mariah,Marissa,Marlene,Marvin,Matilda,Maude,Maverick,Mel,Melinda,Mercer,Mercy,Meredith,Mila,Milena,Millie,Murphy,Murray,Nat,Nayeli,Ned,Nerissa,Nikita,Nola,Novella,Odin,Orion,Oscar,Oswald,Otis,Oz,Paola,Pascal,Pat,Patrick,Pauline,Pax,Pearl,Pedro,Pierce,Prudence,Rachel,Rafael,Rafaela,Raphael,Reed,Remy,Reuben,Rhonda,Riley,Robert,Roberto,Roger,Ross,Rufus,Saffron,Salome,Sasha,Shanna,Sharon,Solange,Steve,Tessa,Thea,Thiago,Tia,Tilly,Tina,Tony,Trent,Trenton,Truman,Tyler,Uma,Ursula,Valeria,Viggo,Vince,Viv,Walker,Warren,William,Wilson,Wyatt,Yma,Yolanda,Yumi,Yve,Zed,Ziva,Zoey,Zola",,False,False,0.0,0.019066333770751953,0,0,"Cannot connect to host 127.0.0.1:8080 ssl:default [Connect call failed ('127.0.0.1', 8080)]",False,0,comparative,False,
