model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider,thinking_level
muse-spark-1.3-contributor@high,hard_v4_en,11,"Which descendants of the person with black hair, dark brown eyes and a pink hat work as a lawyer?","Rosalie,Talia","Rosalie,Talia",True,True,1.0,12.360493421554565,3101,2158,0,0.0007417000000000001,,False,2107,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,12,Which people without parents work as a banker?,"Jared,Khloe,Louise,Nadine,Tristan","Jared,Louise,Tristan",False,False,0.6,12.360512161254883,3101,2158,0,0.0007417000000000001,,False,2107,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,13,"Which descendants of the person with gray hair, gray eyes and a beige hat work as an actor?","Daria,Lexi,Rayna,Roger","Daria,Lexi,Rayna,Roger",True,True,1.0,12.360525798797607,3101,2158,0,0.0007417000000000001,,False,2107,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,14,"Who are the half-siblings of the person with brown hair, blue eyes and a green hat?","Finley,Nia","Finley,Nia",True,True,1.0,12.36053729057312,3101,2158,0,0.0007417000000000001,,False,2107,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,15,Which descendants of Isabel work as a teacher?,"Carol,Nina","Carol,Nina",True,True,1.0,12.360548210144042,3101,2158,0,0.0007417000000000001,,False,2107,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,16,"If the person with strawberry blonde hair, brown eyes and a cream hat has brothers, who are their daughters?","Beatrice,Linda",Beatrice,False,False,0.5,17.74460687637329,3102,2674,3043,0.0005467860000000001,,False,2627,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,17,"Which descendants of the person with auburn hair, hazel eyes and a navy hat work as a salesperson?","Mercedes,Travis","Mercedes,Travis",True,True,1.0,17.744626617431642,3102,2674,3043,0.0005467860000000001,,False,2627,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,18,How many half-siblings does Molly have?,1,1,True,True,1.0,17.74464201927185,3102,2674,3043,0.0005467860000000001,,False,2627,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,19,"Who are the half-brothers of the person with brown hair, blue eyes and a green hat?",Finley,Finley,True,True,1.0,17.74465618133545,3102,2674,3043,0.0005467860000000001,,False,2627,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,20,Which descendants of Sawyer work as an artist?,"Anna,Nayeli",Anna,False,False,0.5,17.7446711063385,3102,2674,3043,0.0005467860000000001,,False,2627,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,21,Which descendants of Eudora work as a chef?,"Langston,Olivia",Langston,False,False,0.5,6.748182344436645,3121,1108,0,0.0005337,,False,1068,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,22,"With whom did the person with black hair, green eyes and a black hat have children?","Calvin,Jared","Calvin,Jared",True,True,1.0,6.748198175430298,3121,1108,0,0.0005337,,False,1068,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,23,"Who are the step-parents of the person with light brown hair, blue-gray eyes and a white hat (partners of one of the parents of the person with light brown hair, blue-gray eyes and a white hat who are not the parents of the person with light brown hair, blue-gray eyes and a white hat)?",Gem,Gem,True,True,1.0,6.748210477828979,3121,1108,0,0.0005337,,False,1068,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,24,"Who are the step-parents of the person with jet black hair, black eyes and a cream hat (partners of one of the parents of the person with jet black hair, black eyes and a cream hat who are not the parents of the person with jet black hair, black eyes and a cream hat)?",Cyril,Cyril,True,True,1.0,6.748222208023071,3121,1108,0,0.0005337,,False,1068,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,25,"Which descendants of the person with chestnut hair, hazel eyes and a beige hat work as a scientist?","Cora,Imelda","Cora,Imelda",True,True,1.0,6.748234558105469,3121,1108,0,0.0005337,,False,1068,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,26,With whom did Miguel have children?,"Corinne,Rafaela","Corinne,Rafaela",True,True,1.0,17.49558048248291,3100,2617,0,0.0008334,,False,2568,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,27,"Among Israel and their siblings, who has the most children?",Etta,Etta,True,True,1.0,17.495598363876343,3100,2617,0,0.0008334,,False,2568,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,28,"Who are the half-siblings of the person with dark brown hair, violet eyes and a gold hat?","Ada,Cason","Ada,Cason",True,True,1.0,17.495611667633057,3100,2617,0,0.0008334,,False,2568,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,29,Which people without parents work as a firefighter?,"Haven,Nico,Rhys,Tina","Haven,Nico,Rhys,Tina",True,True,1.0,17.49562339782715,3100,2617,0,0.0008334,,False,2568,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,30,"Which descendants of the person with brown hair, light brown eyes and a yellow hat work as a banker?","Eudora,Miguel","Eudora,Miguel",True,True,1.0,17.49563398361206,3100,2617,0,0.0008334,,False,2568,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,31,"Among the person with gray hair, brown eyes and a burgundy hat and their siblings, who has the most children?","Mae,Tabitha","Mae,Tabitha",True,True,1.0,12.19374771118164,3109,1809,0,0.0006727,,False,1755,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,32,"Who are the step-parents of the person with jet black hair, violet eyes and a maroon hat (partners of one of the parents of the person with jet black hair, violet eyes and a maroon hat who are not the parents of the person with jet black hair, violet eyes and a maroon hat)?",Nelson,None,False,False,0.0,12.193763017654419,3109,1809,0,0.0006727,,False,1755,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,33,"Among Lucy and their siblings, who has the most children?","Betty,Lucy","Betty,Lucy",True,True,1.0,12.19377646446228,3109,1809,0,0.0006727,,False,1755,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,34,Which people without parents work as a pharmacist?,"Clement,Naima,Owen,Ross","Clement,Naima,Owen",False,False,0.75,12.193790817260743,3109,1809,0,0.0006727,,False,1755,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,35,Who are Kassandra's half-siblings?,"Bud,Imani","Bud,Imani",True,True,1.0,12.19380145072937,3109,1809,0,0.0006727,,False,1755,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,36,Which people without parents work as an electrician?,"Jonah,Russell","Jonah,Russell",True,True,1.0,13.673528146743774,3101,1916,0,0.0006933000000000001,,False,1859,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,37,With whom did Mary have children?,"Ford,Immanuel","Ford,Immanuel",True,True,1.0,13.673550367355347,3101,1916,0,0.0006933000000000001,,False,1859,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,38,Who are Chloe's half-siblings?,Dorothy,Dorothy,True,True,1.0,13.673564624786376,3101,1916,0,0.0006933000000000001,,False,1859,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,39,Which people without parents work as a waiter?,"Braxton,Charlene,Corey,Norman,Rebecca,Rupert,Xander","Braxton,Charlene,Corey,Norman,Rebecca,Rupert,Xander",True,True,1.0,13.673581218719482,3101,1916,0,0.0006933000000000001,,False,1859,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,40,"How many people answer the following question (answer with a number): ""Who has the same hair color as the father of the mother of the person with white hair, dark brown eyes and a white hat?""",31,0,False,False,0.0,13.673608636856079,3101,1916,0,0.0006933000000000001,,False,1859,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,41,"Among Wyatt and their siblings, who has the most children?",Wyatt,Wyatt,True,True,1.0,16.88794779777527,3107,4068,3043,0.000826086,,False,4019,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,42,Which people without parents work as a social worker?,"Farley,Honey,Maxim,Mya,Nessa,Raul,Sophie","Honey,Maxim,Mya,Raul",False,False,0.5714285714285714,16.88796982765198,3107,4068,3043,0.000826086,,False,4019,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,43,"Among the person with salt and pepper hair, black eyes and a white hat and their siblings, who has the most children?",Brock,Brock,True,True,1.0,16.887984895706175,3107,4068,3043,0.000826086,,False,4019,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,44,"Which of the children of the person with dark brown hair, gray eyes and a white hat have children who work in the same profession as the person with dark brown hair, gray eyes and a white hat?",Joanna,Joanna,True,True,1.0,16.887999486923217,3107,4068,3043,0.000826086,,False,4019,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,45,"With whom did the person with jet black hair, dark brown eyes and a gray hat have children?","Anouk,Marigold","Anouk,Marigold",True,True,1.0,16.888011837005614,3107,4068,3043,0.000826086,,False,4019,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,46,"Who are the step-parents of the person with silver hair, dark brown eyes and a navy hat (partners of one of the parents of the person with silver hair, dark brown eyes and a navy hat who are not the parents of the person with silver hair, dark brown eyes and a navy hat)?",Christopher,Christopher,True,True,1.0,18.82967038154602,3111,2677,0,0.0008465,,False,2628,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,47,"Which descendants of the person with brown hair, light brown eyes and a yellow hat work as a photographer?","Ada,Win","Ada,Win",True,True,1.0,18.829689073562623,3111,2677,0,0.0008465,,False,2628,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,48,Who are the children of Cassius's grandparents' siblings?,Grady,Grady,True,True,1.0,18.82970299720764,3111,2677,0,0.0008465,,False,2628,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,49,How many half-siblings does Bud have?,2,2,True,True,1.0,18.829716825485228,3111,2677,0,0.0008465,,False,2628,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,50,"How many people answer the following question (answer with a number): ""Who has the same hair color as Harry's mother's father?""",30,0,False,False,0.0,18.82973575592041,3111,2677,0,0.0008465,,False,2628,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,51,Which people without parents work as a photographer?,"Blanca,Bruce,Callie,Elisa,Gideon,Leah,Orson,Stacey","Blanca,Bruce,Callie,Elisa,Gideon,Jeanne,Leah,Orson,Stacey",False,False,0.8888888888888888,9.622380781173707,3103,1441,0,0.0005985,,False,1387,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,52,Who are Davina's step-parents (partners of one of Davina's parents who are not Davina's parents)?,Samuel,Samuel,True,True,1.0,9.622394847869874,3103,1441,0,0.0005985,,False,1387,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,53,"Among the person with dark brown hair, hazel eyes and a pink hat and their siblings, who has the most children?",Lillian,Lillian,True,True,1.0,9.622407627105712,3103,1441,0,0.0005985,,False,1387,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,54,Who are the grandchildren of Emilio's siblings?,Cosima,Cosima,True,True,1.0,9.62241792678833,3103,1441,0,0.0005985,,False,1387,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,55,"With whom did the person with jet black hair, violet eyes and a maroon hat have children?","Gem,Victoria","Gem,Victoria",True,True,1.0,9.622428703308106,3103,1441,0,0.0005985,,False,1387,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,56,"Who are the children of the siblings of the grandparents of the person with salt and pepper hair, blue eyes and a black hat?",Jasper,Jasper,True,True,1.0,16.023374557495117,3106,2596,0,0.0008298000000000001,,False,2544,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,57,"Who are the half-brothers of the person with salt and pepper hair, light brown eyes and a maroon hat?",Manfred,Manfred,True,True,1.0,16.023390102386475,3106,2596,0,0.0008298000000000001,,False,2544,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,58,Who are the grandchildren of Paola's siblings?,"Jamila,Lavinia,Mariana","Jamila,Lavinia,Mariana",True,True,1.0,16.023404788970947,3106,2596,0,0.0008298000000000001,,False,2544,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,59,Who are Grant's step-parents (partners of one of Grant's parents who are not Grant's parents)?,Luna,Luna,True,True,1.0,16.023416614532472,3106,2596,0,0.0008298000000000001,,False,2544,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,60,"Which descendants of the person with silver hair, violet eyes and a turquoise hat work as a scientist?","Cora,Holly,Imelda","Cora,Holly,Imelda",True,True,1.0,16.02342872619629,3106,2596,0,0.0008298000000000001,,False,2544,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,61,"Who are the half-siblings of the person with dark brown hair, violet eyes and a beige hat?","Grant,Samira","Grant,Samira",True,True,1.0,26.912457942962646,3106,3597,0,0.00103,,False,3536,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,62,"What are the hair colors of the in-laws of the children of the person with chestnut hair, violet eyes and a gold hat?","dark brown,light brown","auburn,dark brown,light brown",False,False,0.6666666666666666,26.912481451034544,3106,3597,0,0.00103,,False,3536,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,63,"Among the person with chestnut hair, green eyes and a beige hat and their siblings, who has the most children?","Erica,Nell","Erica,Nell",True,True,1.0,26.912494373321532,3106,3597,0,0.00103,,False,3536,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,64,Which people without parents work as a veterinarian?,"Arlo,Kamal,Keith,Lawson,Vex","Arlo,Kamal,Keith,Lawson,Vex",True,True,1.0,26.912509536743165,3106,3597,0,0.00103,,False,3536,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,65,"Which descendants of the person with salt and pepper hair, light brown eyes and a gray hat work as an actor?","Octavia,Paulina","Octavia,Paulina",True,True,1.0,26.912521505355834,3106,3597,0,0.00103,,False,3536,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,66,Which people without parents work as an accountant?,"Dalton,Roberto,Sawyer,Sullivan,Terry","Dalton,Roberto,Terry",False,False,0.6,19.616806507110596,3099,2677,0,0.0008453,,False,2626,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,67,"Who are the children of the siblings of the grandparents of the person with black hair, green-brown eyes and a gold hat?","Cassius,Minnie",Cassius,False,False,0.5,19.61682391166687,3099,2677,0,0.0008453,,False,2626,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,68,What are the hair colors of Seraphina's children's in-laws?,"chestnut,silver","chestnut,silver",True,True,1.0,19.616839742660524,3099,2677,0,0.0008453,,False,2626,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,69,Who are the children of Cathy's grandparents' siblings?,Xenia,Xenia,True,True,1.0,19.616850996017455,3099,2677,0,0.0008453,,False,2626,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,70,Which people without parents work as an actor?,"Harris,Isla,Joy,Leanne,Lucian,Yasmine","Isla,Joy,Leanne,Lucian,Yasmine",False,False,0.8333333333333334,19.61686592102051,3099,2677,0,0.0008453,,False,2626,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,71,Which people without parents work as a carpenter?,"Agnes,Baxter,Ethan,Renee,Samuel","Agnes,Baxter,Renee,Samuel",False,False,0.8,17.47699828147888,3100,2688,0,0.0008476,,False,2638,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,72,"If the person with chestnut hair, blue-gray eyes and an orange hat has brothers, who are their daughters?","Aviana,Samira,Shannon","Aviana,Samira",False,False,0.6666666666666666,17.477016830444335,3100,2688,0,0.0008476,,False,2638,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,73,Which descendants of Dustin work as a teacher?,"Carol,Jasper,Nina","Carol,Jasper,Nina",True,True,1.0,17.477031660079955,3100,2688,0,0.0008476,,False,2638,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,74,Which descendants of Orson work as a carpenter?,"Etta,Shirley","Etta,Shirley",True,True,1.0,17.477044677734376,3100,2688,0,0.0008476,,False,2638,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,75,"Which descendants of the person with light brown hair, hazel eyes and a brown hat work as a writer?","Jocelyn,Oriana","Jocelyn,Oriana",True,True,1.0,17.47705774307251,3100,2688,0,0.0008476,,False,2638,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,76,Who are the children of Molly's grandparents' siblings?,"Cassius,Minnie",Cassius,False,False,0.5,22.213558959960938,3103,3101,0,0.0009305,,False,3050,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,77,"How many people answer the following question (answer with a number): ""Who has the same hair color as Myrna's mother's father?""",31,0,False,False,0.0,22.213574028015138,3103,3101,0,0.0009305,,False,3050,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,78,How many half-siblings does Giles have?,2,2,True,True,1.0,22.213585329055785,3103,3101,0,0.0009305,,False,3050,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,79,"Which descendants of the person with black hair, dark brown eyes and a tan hat work as an accountant?","Adelaide,Valentina","Adelaide,Valentina",True,True,1.0,22.21359724998474,3103,3101,0,0.0009305,,False,3050,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,80,"With whom did the person with salt and pepper hair, violet eyes and a yellow hat have children?","Natalie,Tallulah","Natalie,Tallulah",True,True,1.0,22.21360821723938,3103,3101,0,0.0009305,,False,3050,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,81,Who are the children of Simon's grandparents' siblings?,"Langston,Violet","Langston,Violet",True,True,1.0,13.585316276550293,3101,1960,0,0.0007021,,False,1906,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,82,"What are the hair colors of the in-laws of the children of the person with auburn hair, gray eyes and a purple hat?","chestnut,platinum blonde","chestnut,platinum blonde",True,True,1.0,13.585345125198364,3101,1960,0,0.0007021,,False,1906,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,83,Which of Maddison's children have children who work in the same profession as Maddison?,Lexi,Lexi,True,True,1.0,13.585360240936279,3101,1960,0,0.0007021,,False,1906,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,84,With whom did Mercedes have children?,"Rudy,Tux","Rudy,Tux",True,True,1.0,13.585371828079223,3101,1960,0,0.0007021,,False,1906,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,85,"Among Estelle and their siblings, who has the most children?",Estelle,Estelle,True,True,1.0,13.585382223129272,3101,1960,0,0.0007021,,False,1906,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,86,Which descendants of Roger work as a mechanic?,"Aileen,Francine","Aileen,Francine",True,True,1.0,16.26449074745178,3108,2349,0,0.0007806,,False,2296,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,87,How many half-siblings does Arden have?,1,1,True,True,1.0,16.26450819969177,3108,2349,0,0.0007806,,False,2296,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,88,"Who are the step-parents of the person with light brown hair, green eyes and a cream hat (partners of one of the parents of the person with light brown hair, green eyes and a cream hat who are not the parents of the person with light brown hair, green eyes and a cream hat)?",Rafaela,Rafaela,True,True,1.0,16.26452293395996,3108,2349,0,0.0007806,,False,2296,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,89,"What are the hair colors of the in-laws of the children of the person with black hair, green eyes and a black hat?","salt and pepper,silver","salt,pepper,silver",True,True,1.0,16.26453971862793,3108,2349,0,0.0007806,,False,2296,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,90,Who are Manfred's half-siblings?,"Bud,Imani","Bud,Imani",True,True,1.0,16.264553356170655,3108,2349,0,0.0007806,,False,2296,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,91,How many half-siblings does York have?,2,2,True,True,1.0,24.430263996124268,3106,2885,0,0.0008876,,False,2837,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,92,"Among the person with auburn hair, green-brown eyes and a black hat and their siblings, who has the most children?",Floyd,Floyd,True,True,1.0,24.430280351638793,3106,2885,0,0.0008876,,False,2837,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,93,Which of Edwin's children have children who work in the same profession as Edwin?,Regina,None,False,False,0.0,24.430295753479005,3106,2885,0,0.0008876,,False,2837,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,94,"If the person with strawberry blonde hair, violet eyes and a red hat has brothers, who are their daughters?",Aspen,Aspen,True,True,1.0,24.430307626724243,3106,2885,0,0.0008876,,False,2837,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,95,"What are the hair colors of the in-laws of the children of the person with strawberry blonde hair, amber eyes and a blue hat?","auburn,light brown,red","auburn,black,jet black,light brown,red,white",False,False,0.5,24.430329608917237,3106,2885,0,0.0008876,,False,2837,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,96,"Among the person with jet black hair, hazel eyes and a maroon hat and their siblings, who has the most children?","Beatrice,Linda","Beatrice,Linda",True,True,1.0,22.102529048919678,3101,2541,0,0.0008183000000000001,,False,2488,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,97,Which descendants of Nico work as a scientist?,"Becca,Joan","Becca,Joan",True,True,1.0,22.10254716873169,3101,2541,0,0.0008183000000000001,,False,2488,verticale_descendant_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,98,"With whom did the person with auburn hair, green-brown eyes and a tan hat have children?","Arlo,Cyril","Arlo,Cyril",True,True,1.0,22.102561044692994,3101,2541,0,0.0008183000000000001,,False,2488,beaux_parents,hard,0,False,,5,stop,Meta,high
