model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason
deepseek/deepseek-v4-flash-0731,tree400_en_expert,11,"Among the person with strawberry blonde hair, green eyes and a purple hat and their siblings, who has the most children?",Kinley,Kinley,True,True,1.0,27.90202784538269,2939,1486,0,0.0008275400000000001,,False,1415,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,12,"Which aunt of the grandfather of the father of the person with white hair, green-brown eyes and a burgundy hat wears a purple hat?",Sage,Sage,True,True,1.0,27.902057361602782,2939,1486,0,0.0008275400000000001,,False,1415,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,13,Which child of the grandmother of the daughter of Selma has blonde hair?,Chance,Chance,True,True,1.0,27.902080249786376,2939,1486,0,0.0008275400000000001,,False,1415,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,14,"Which sister of the grandmother of the sister of the person with silver hair, blue-gray eyes and a silver hat wears a beige hat?",Rafaela,Rafaela,True,True,1.0,27.902099466323854,2939,1486,0,0.0008275400000000001,,False,1415,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,15,Which child of the grandfather of the child of Jason has dark brown hair?,Britney,Britney,True,True,1.0,27.902116298675537,2939,1486,0,0.0008275400000000001,,False,1415,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,16,Which descendants of Ralph work as a translator?,"Edison,Jessie,Leah","Leah,Jessie,Edison",True,True,1.0,148.30281438827515,2927,2067,0,0.0009885400000000002,,False,1865,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,17,"Among Emery and their siblings, who has the most children?","Emery,Helga,Tia",None,False,False,0.0,148.30284900665282,2927,2067,0,0.0009885400000000002,,False,1865,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,18,Who are the grandchildren of Leora's siblings?,"Cecilia,Chance,Elsie,Janelle,Landon,Penelope,Sheena,Stephanie,Wil","Stephanie,Sheena,Cecilia,Elsie,Landon,Penelope,Chance,Wil",False,False,0.8888888888888888,148.30287041664124,2927,2067,0,0.0009885400000000002,,False,1865,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,19,Which descendants of Ilias work as a pharmacist?,"Bruno,Penelope","Bruno,Penelope",True,True,1.0,148.30289163589478,2927,2067,0,0.0009885400000000002,,False,1865,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,20,Which descendants of Margery work as a teacher?,"Barnaby,Elroy","Elroy,Barnaby",True,True,1.0,148.30290784835816,2927,2067,0,0.0009885400000000002,,False,1865,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,21,Which female cousin of the mother of the brother of Sinclair wears a blue hat?,Lucy,Lucy,True,True,1.0,72.34564685821533,2937,2177,0,0.00102074,,False,2170,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,22,Who is the grandchild of Celestine who has the same hair color as the grandmother of the aunt of Beth?,Temperance,Temperance,True,True,1.0,72.34567503929138,2937,2177,0,0.00102074,,False,2170,enigme,enigma,0,True,9,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,23,"Who are the grandchildren of the siblings of the person with salt and pepper hair, violet eyes and a black hat?",Rosalie,Rosalie,True,True,1.0,72.34569516181946,2937,2177,0,0.00102074,,False,2170,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,24,"Which grandchild of the son of the aunt of the person with red hair, green eyes and a gold hat has brown hair?",Rebecca,None,False,False,0.0,72.34571905136109,2937,2177,0,0.00102074,,False,2170,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,25,"Among Vera and their siblings, who has the most children?","Etta,Evangeline,Vera",None,False,False,0.0,72.34574041366577,2937,2177,0,0.00102074,,False,2170,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,26,"Among Weston and their siblings, who has the most children?",Weston,Angus,False,False,0.0,29.509659147262575,2954,4115,0,0.0015657600000000002,,False,4109,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,27,"Which descendants of the person with dark brown hair, black eyes and a tan hat work as a chef?","Bertha,Javier,Vince","Javier,Vince,Bertha",True,True,1.0,29.50967674255371,2954,4115,0,0.0015657600000000002,,False,4109,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,28,"What are the hair colors of the in-laws of the children of the person with platinum blonde hair, violet eyes and an orange hat?","auburn,dark brown,platinum blonde",None,False,False,0.0,29.50969305038452,2954,4115,0,0.0015657600000000002,,False,4109,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,29,"If the person with silver hair, hazel eyes and a brown hat has brothers, who are their daughters?",Janelle,Janelle,True,True,1.0,29.50970573425293,2954,4115,0,0.0015657600000000002,,False,4109,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,30,"Among the person with brown hair, black eyes and a green hat and their siblings, who has the most children?","Gemma,Rudolph",None,False,False,0.0,29.509718799591063,2954,4115,0,0.0015657600000000002,,False,4109,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,31,Which mother of the sister of the uncle of Lorenzo has blonde hair?,Fabiana,None,False,False,0.0,120.1349380493164,2933,3330,0,0.00134302,,False,3324,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,32,Which descendants of Tessa work as a farmer?,"Janine,Phoebe,Sally","Janine,Phoebe,Sally",True,True,1.0,120.13496689796447,2933,3330,0,0.00134302,,False,3324,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,33,"Which grandchild of the grandfather of the mother of the person with brown hair, amber eyes and a red hat has brown hair?",Avery,None,False,False,0.0,120.13498620986938,2933,3330,0,0.00134302,,False,3324,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,34,Which grandchild of the sister of Britney has gray hair?,Luka,None,False,False,0.0,120.13500175476074,2933,3330,0,0.00134302,,False,3324,enigme,enigma,0,True,4,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,35,Which mother of the male cousin of the female cousin of Laura has violet eyes?,Haven,None,False,False,0.0,120.1350151538849,2933,3330,0,0.00134302,,False,3324,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,36,"Which brother of the grandmother of the aunt of the person with gray hair, green-brown eyes and a burgundy hat has blue eyes?",Harold,Harold,True,True,1.0,570.7834170341491,2952,2348,0,0.00107072,,False,2340,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,37,"If Eleanor has brothers, who are their daughters?",Yen,Yen,True,True,1.0,570.7834327697753,2952,2348,0,0.00107072,,False,2340,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,38,Which descendants of Jim work as a cashier?,"Florence,Pete",Florence,False,False,0.5,570.7834450244903,2952,2348,0,0.00107072,,False,2340,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,39,"Who are the children of the siblings of the grandparents of the person with dark brown hair, gray eyes and a brown hat?","Octavia,Uri","Octavia,Uri",True,True,1.0,570.7834558010102,2952,2348,0,0.00107072,,False,2340,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,40,"Which descendants of the person with auburn hair, dark brown eyes and a gold hat work as a chef?","Bradley,Isla","Isla,Bradley",True,True,1.0,570.7834662437439,2952,2348,0,0.00107072,,False,2340,verticale_descendant_critere,hard,0,False,,5,stop
