model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,11,"Among the person with gray hair, gray eyes and a blue hat and their siblings, who has the most children?",Joy,Joy,True,True,1.0,49.377458810806274,15671,8572,15360,0.0045941,,False,7335,conditional,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,12,"Who is the mother of the person with jet black hair, green eyes and a pink hat?",Kerry,Kerry,True,True,1.0,10.56404161453247,15667,1453,15360,0.0026002200000000003,,False,1401,enigme,enigma,0,True,6,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,13,Which aunt of the father of the aunt of Howard wears a maroon hat?,Jolie,Jolie,True,True,1.0,21.165708541870117,15664,3179,15360,0.0030830799999999998,,False,2978,enigme,enigma,0,True,7,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,14,"Which grandfather of the son of the grandmother of the person with dark brown hair, green eyes and a navy hat has platinum blonde hair?",Glenn,,False,False,0.0,938.3972165584564,15675,160000,15360,0.04699450000000001,,True,151438,enigme,enigma,0,True,8,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,15,Which descendants of Khloe work as a manager?,"Aileen,Dustin,Margot",None,False,False,0.0,30.507413387298584,15658,3199,15360,0.00308784,,False,2879,verticale_descendant_critere,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,16,Who are Yuki's step-parents (partners of one of Yuki's parents who are not Yuki's parents)?,Katrina,Katrina,True,True,1.0,38.969573736190796,15674,4129,15360,0.0033504800000000003,,False,3858,beaux_parents,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,17,"Who are the children of the siblings of the grandparents of the person with brown hair, hazel eyes and a beige hat?","Elsa,Gemma",Elsa,False,False,0.5,36.22168207168579,15674,5664,15360,0.00378028,,False,5271,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,18,"Who are the half-siblings of the person with jet black hair, blue-gray eyes and a turquoise hat?","Alan,Annette",Alan,False,False,0.5,5.057394981384277,15671,825,15360,0.00242494,,False,809,demi_fratrie,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,19,"Which child of the grandmother of the mother of the person with gray hair, hazel eyes and a black hat has black hair?",Galadriel,Galadriel,True,True,1.0,16.771708011627197,15674,2640,15360,0.0029335600000000004,,False,2423,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,20,"Which descendants of the person with dark brown hair, green eyes and a gold hat work as an electrician?","Gemma,Hans",Hans,False,False,0.5,69.8648989200592,15670,12361,15360,0.005654880000000001,,False,10463,verticale_descendant_critere,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,21,"Which grandfather of the grandfather of the daughter of the person with white hair, green eyes and a green hat has salt and pepper hair?",Julian,Julian,True,True,1.0,14.196386337280273,15675,2314,15360,0.00284242,,False,2353,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,22,"Which grandfather of the grandmother of the aunt of the person with blonde hair, black eyes and a green hat has chestnut hair?",Konrad,,False,False,0.0,697.1340155601501,15674,160000,15360,0.046994360000000006,,True,75144,enigme,enigma,0,True,8,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,23,Which people without parents work as a librarian?,"Jeremiah,June,Kerry","June,Jeremiah,Kerry,Laura,Novella,Zinnia,Wyx,Denise,Lara,Justin",False,False,0.3,148.49478197097778,15657,30496,15360,0.01073086,,False,21063,verticale_racine_critere,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,24,Which sister of the mother of India has auburn hair?,Liesl,Liesl,True,True,1.0,4.477863311767578,15661,564,15360,0.00235046,,False,508,enigme,enigma,0,True,5,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,25,Who is the female cousin of the female cousin of Eugenia who has the same hair color as the grandfather of Kira?,Luella,Luella,True,True,1.0,58.54873776435852,15673,7208,15360,0.004212460000000001,,False,6843,enigme,enigma,0,True,9,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,26,"Among Bryce and their siblings, who has the most children?",Bryce,,False,False,0.0,676.8705906867981,15660,160000,15360,0.04699240000000001,,True,111543,conditional,hard,0,False,,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,27,"Among Yve and their siblings, who has the most children?","Denise,Yve",,False,False,0.0,642.6025643348694,15661,160000,15360,0.046992540000000006,,True,108754,conditional,hard,0,False,,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,28,Who are the grandchildren of Jayla's siblings?,"Clarissa,Elsa,Gemma,Janelle,Joanne,Lexi,Truman","Janelle,Joanne,Truman",False,False,0.42857142857142855,107.56325674057007,15658,16676,0,0.006861400000000002,,False,15528,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,29,Who is the female cousin of Jamila who has the same hair color as the daughter of the brother of Sharon?,Maggie,Maggie,True,True,1.0,30.565561056137085,15671,4493,15360,0.0034519800000000003,,False,4071,enigme,enigma,0,True,9,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,30,"Who are the half-siblings of the person with black hair, light brown eyes and a tan hat?",Cedric,Cedric,True,True,1.0,21.457048892974854,15669,3209,0,0.0030921800000000004,,False,2832,demi_fratrie,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,31,"Which child of the sister of the grandmother of the person with platinum blonde hair, green-brown eyes and a tan hat has salt and pepper hair?",Yvette,Yvette,True,True,1.0,16.877453327178955,15677,1831,15360,0.00270746,,False,1661,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,32,"Who are the half-siblings of the person with gray hair, light brown eyes and a gray hat?","Joanne,Lexi",Joanne,False,False,0.5,31.17974042892456,15669,4907,0,0.0035676200000000005,,False,4241,demi_fratrie,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,33,"How many people answer the following question (answer with a number): ""Who in Larry's generation works neither as a psychologist nor as a writer?""",16,,False,False,0.0,646.9278318881989,15677,160000,15360,0.04699478000000001,,True,101519,negation,hard,0,False,,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,34,Who is the female cousin of Felicity who has the same profession as the child of Dario?,Ursula,,False,False,0.0,648.2095398902893,15668,160000,15360,0.046993520000000004,,True,106676,enigme,enigma,0,True,9,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,35,"Which grandfather of the grandmother of the daughter of the person with white hair, black eyes and a black hat has green-brown eyes?",Nathan,Nathan,True,True,1.0,22.68716812133789,15674,3126,15360,0.00306964,,False,3154,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,36,"Who are the children of the siblings of the grandparents of the person with black hair, amber eyes and a pink hat?","Cameron,Kelly",None,False,False,0.0,26.18253207206726,15672,4731,15360,0.00351876,,False,4265,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,37,"Which descendants of the person with jet black hair, blue eyes and a beige hat work as a doctor?","Eden,Michael",None,False,False,0.0,37.90658521652222,15670,6225,0,0.0039368,,False,6025,verticale_descendant_critere,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,38,"Which mother of the grandfather of the aunt of the person with brown hair, violet eyes and a navy hat wears a maroon hat?",Jolie,Jolie,True,True,1.0,37.338104009628296,15675,5426,15360,0.0037137800000000003,,False,5130,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,39,"Which descendants of the person with black hair, amber eyes and a silver hat work as a therapist?","Felicity,Joan","Felicity,Joan",True,True,1.0,7.598493576049805,15668,1029,15360,0.00248164,,False,974,verticale_descendant_critere,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,40,Which of Jazlyn's children have children who work in the same profession as Jazlyn?,Harvey,None,False,False,0.0,31.044103622436523,15668,4958,15360,0.0035817600000000002,,False,4437,conditional,hard,0,False,,1,stop,CoreWeave
